ลำดับ	ภาพรีวิวจริง	เมือง	ย่าน	ชื่อร้าน / สถานที่	ประเภท	อาหาร / จุดเด่น	เวลาเปิด-ปิด	เมนูเด็ด / ไฮไลต์	โน้ตส่วนตัว	Google Maps
22	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG-Bd7WfZVnFnM15Po707LUsY7suobAlp-fyfIxP2frLequvZ8S2mYYonlcSRk04eriJKRyhvz05uJDgQjaKHJyc6SqT1wTVEdG02-WxN-nxamQN858BYVr2v4fyoJ_1by267WZIPvhlRwEV-WsvQ-OOnGTpN24P6Y4uT4xKyxRFmuZaeGRigcNFfUnqf_uqN7XJezuOU3mWoOMB-6PsaJ4fZFX7FHoC0im0byMRPS4K3xACQ-7MqEWuyH2i0Yuk2-m1o8G_h-N7ZUDB4GHydSKmvrj6yLA1h0eCptAERZxghSUN9h9Xc4EjjdQl_WeWiUQ==/o0960096014661762429.jpg"")"	Tokyo	Shibuya / Ginza	Ginza Kanra (銀座甘楽 - Shibuya Scramble Square B2)	ร้านขนมหวานญี่ปุ่น	ขนมหวานญี่ปุ่นดั้งเดิม วากาชิ (Traditional Wagashi)	10:00 – 21:00	Ginga Mame Daifuku (ไดฟุกุถั่วแดงแป้งนุ่มหนึบตัดเกลือพอดีอันโด่งดัง), โดรายากิไส้ถั่วแดงเนียน		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.6584638,139.7022621&query_place_id=Ginza%20Kanra%20Shibuya%20/%20Ginza"", ""📍 แผนที่"")"
23	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG8Q724yY7aOyauhX_O0sPgPNitauR1QKUznRabWX1G3aU8dENrLqk9ZGMo22TXqKzUs4hsYneTDShlW2zvjd3_-4BkbReu_ixY3Y_KFm4J13LAHD5JCjpiUOTODuec_HAUqziG--IQu9-QD00MHIee-5yBl7y-V295AXd9OmbSTfCHT4POPSzuaXzIUQYTX30vsB0l7aAEPVB_CuFhzFsuUtMJKJfqmFoSmy_xRfelMp6tvYgpPfMGQ0fsOajeLb7PSS633UmDwXhdGti94DE1s=/1b8e3e4e49f18530.jpg"")"	Tokyo	Tokyo Station / Marunouchi	BUTTER - Biei Pasture Dairy Farm (丸の内ビル B1)	คาเฟ่ / เบเกอรี่	เนยสดและผลิตภัณฑ์นมฮอกไกโด (Biei Hokkaido Butter Cafe)	11:00 – 21:00 (อาทิตย์ปิด 20:00)	Butter Pancake แพนเค้กชุ่มเนยสดเกรดพรีเมียมจากฟาร์มบิเอะ, Biei Milk Soft Serve		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.6807194,139.7636391&query_place_id=BUTTER%20-%20Biei%20Pasture%20Dairy%20Farm%20Tokyo%20Station%20/%20Marunouchi"", ""📍 แผนที่"")"
24	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqGw74Suq8W2MnAojZvzozrqJI8USLltxh2Xz6bzl1is348PGsy464nmXIqRCUtEOjdVEpc-5mr6H46Juw6IfTUEfP0VrT5B5kIgLpV8v8Ug3Nyvhdt3MOFvRPfSGQtdvqz0aVyPM2oMOzO7OqapMlEaA9x2d053i6yqs_-C4nX2J5mccrn3nn-eS7Wx-zgNy5oVwBKV_l2dBFBe7ZOHMRrd3KeiCChNXKZyh_c9uhdgNOjRxkUn61G-RHWtK0Xc9YoXDCQEmxlt6eHIX_8dCFkLA1P98wdgeqna9GRk7dCY5x/31930.jpg"")"	Tokyo	Ginza	Ginza Tsuboyaki-imo (銀座 つぼやきいも)	ร้านขนมหวาน	มันหวานญี่ปุ่นเผาโอ่งดินเผา (Tsubo Roasted Sweet Potato)	12:00 – 22:00 (เสาร์-อาทิตย์ถึง 19:00, ปิดจันทร์)	Tsubo Yaki-imo (มันเผาหวานฉ่ำเนื้อเนียนเยิ้มคาราเมล ละลายในปาก)	มันหวาน	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.6697495,139.7620837&query_place_id=Ginza%20Tsuboyaki-imo%20Ginza"", ""📍 แผนที่"")"
25	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG9xX3MH5qFi8wMB_Qy81b-9Kj7eZRUzaQ0L6PYfusniIPfwnJyW1wBQ6HqJ-uYdk4luQk2t9HX6HloWTvJVNWAKKTMYYN7AwqAqDewh-wRZVl2Gx4cq2xjNWCUXRh1i49pYih2M4xcmNNiDm6PgyEUQrSMGKpfZPrWZ5zp87kM0JLAHD5JCjpiUOTODuec_HAUqziG--IQu9-QD00MHIee-5yBl7y-V295AXd9OmbSTfCHT4POPSzuaXzIUQYTX30vioJS0ObeMkws7e36zvPt6ftU5TKo5W2_e1lbTwAw85o6qhSJlG5Qde6yg4-VvIb6Vdl134E3RC6ZEhvXWfM98=/title-1773105932398.jpeg"")"	Osaka	Shinsaibashi / Minamisenba	Mugi x Tori (麦×鶏 - มูกิ โทะ โทริ)	ร้านอาหาร	ราเมนซุปไก่ฟองฟูและเมนไทโกะ (Chicken Paitan Ramen)	11:00 – 15:00 / 18:00 – 21:30	Mentaiko Paitan Ramen (ราเมนฟองโฟมซุปไก่เข้มข้นผสมไข่ปลาเมนไทโกะ)	ราเมนเมนไทโกะอร่อย	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.6779054,135.5025021&query_place_id=Mugi%20x%20Tori%20Shinsaibashi%20/%20Minamisenba"", ""📍 แผนที่"")"
26	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG7vtJUceQEiwasVKtK4sWxJTiIZpHWft1gaapBRvhasFuwNYhJWONbfDzNNbG221GQPBhiS0iUjfhVHjqBUUAAAJ1M-yTlfmOE8vswGydb_Zg_U8uTrwEwgYIWvknn0KgTZzlmySsX5jJBVizTVSUISbrON8lJN_OKdGbKWMP1ONeJgfTJn6AYXOtCRwRmXl-_lZSpQAGnzxawGyms0q20eh5ZeEgiXBO2NVHRdREloSYWkSMaUHRtGvreV9rdKQPZvFt3H06FS6LtlXcqtH5E_Ao8zEKY3ZuPlbLh0FJ4405U-01uuoQMON78gxM6GN1g==/640x640_rect_94d1c2ace847119852e5f0e570556f14.jpg"")"	Osaka	Nakazakicho / Umeda	mitarashi Fu-Do NAKAZAKI カフェ	คาเฟ่ / ขนมหวาน	ดังโงะย่างซอสหวานเค็มญี่ปุ่น (Mitarashi Dango Cafe)	11:00 – 18:00 (ปิดวันพุธ)	Mitarashi Dango (ดังโงะย่างสดร้อนๆ ซอสหวานเค็มยืดๆ นุ่มหนึบ), ชาเขียวมัทฉะ		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.7085983,135.5031664&query_place_id=mitarashi%20Fu-Do%20NAKAZAKI%20%E3%82%AB%E3%83%95%E3%82%A7%20Nakazakicho%20/%20Umeda"", ""📍 แผนที่"")"
27	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG7EWq3gkaBV51Iq32TvAcGrFGJLYXPsvUcTXV7P3YYThZwu87gLpK7_7hD_Dhrd1QjTMrw7uengXSBCXf9nehH_R6m8wlM9kJ9Z_JD2kZzEigCQXXzo3YizRu-J61WbzNqcZOk3bg_pji5PjErLFEWa5lp4ZGKBw0V9Sep_-6o3tcl7O45TeZag4wH7o-xonh9kVfsUegLSKbRvIxE9LgrcQdgEq659wIeEdhIsHE8gsq0IOUNuA9J5axz37AwWSf197J5y94jo4ilHfebMKua8BX4ercQsWK6hCCLswbvmY/20240519211031.jpg"")"	Osaka	Shinsaibashi / Minamisenba	Onigiri Gorichan (おにぎり ごりちゃん 心斎橋店)	ร้านอาหาร	ข้าวปั้นโอนิกิริทำสดไส้ล้น (Handmade Onigiri)	11:00 – 20:00	โอนิกิริไส้แซลมอน+ไข่ปลาแซลมอน (Sake Oyako), ข้าวปั้นไข่แดงดองโชยุหมูสับ		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.6758595,135.5021961&query_place_id=Onigiri%20Gorichan%20Shinsaibashi%20/%20Minamisenba"", ""📍 แผนที่"")"
28	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG7vtJUceQEiwasVKtK4sWxJTiIZpHWft1gaapBRvhasFuwNYhJWONbfDzNNbG221GRIlPKorEwqYW2GFdc60BKMXMxlckK7Z5sq_jVExRemc7M8wm2RDU82vmIFN1Pv4RYVsWppXN31FUKYPTlY68-0UMdFe7X7o07KLkKqviYPiGk7Z1olRbzJnj0EY3vHGY49n8Erjxr1IdIu767yQLXQHdLwlJpHH1r2sngdmTY6px07PCpiKbh8vfh8WSvSW95PiBRlFmTbFMNj19BV2J_w=/640x640_rect_72961181.jpg"")"	Osaka	Namba	Gokai Standing Sushi Bar Namba Nankaidori (豪快立ち寿司 難波南海通り店)	ร้านอาหาร	ซูชิยืนกินหน้าล้นจาน (Standing Sushi Bar)	11:30 – 23:00	Uni & Ikura Kobore Sushi (ซูชิหน้าไข่หอยเม่นและไข่ปลาแซลมอนล้นทะลักจาน), ซาชิมิมากุโระ		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.6651866,135.5023056&query_place_id=Gokai%20Standing%20Sushi%20Bar%20Namba%20Nankaidori%20Namba"", ""📍 แผนที่"")"
29	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG7EWq3gkaBV51Iq32TvAcGrFGJLYXPsvUcTXV7P3YYThZwu87gLpK7_7hD_Dhrd1Qp1geTlW2Oo4vh8qhAjs9MTNqVmOuyyrECWK5AUNQs_zqRGgz3y6avl0ZG755h72gEaVyPM2oMOzO7OqapMlEaA9x2d053i6yqs_-C4nX2J5mccrn3nn-eS7Wx-zgNy5oVwBKV_l2dBFBe7ZOHMRrd2d0BPfWQOJkicYTioz4zYvkwoq6YTv9ZCEyDb0N6mKL7VSfhSb3egxC7XyrhiqhBYArRKHCPLFk6T8_1s3sOFT/20250827174800.jpg"")"	Osaka	Umeda	grenier Umeda (グルニエ 阪急グランドビル 1F)	คาเฟ่ / เบเกอรี่	มิลเฟยกรอบครีมเบิร์นไฟ (Brulee Mille-Feuille)	10:00 – 20:00	Brulee Mille-Feuille (พัฟมิลเฟยกรอบกรุบสอดไส้คัสตาร์ดเบิร์นไฟหอมกรุ่น), มิลเฟยสตรอว์เบอร์รี		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.7035422,135.4991909&query_place_id=grenier%20Umeda%20Umeda"", ""📍 แผนที่"")"
30	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqGxBWVYx_82IVmgfxG-8YoDZPhJIloU0fFnLRFOxXF12oJgBn08V77MAiHpZvoOUbcGEgIkYTnfEiHENmipD7idrfLkeOcFyyhjlMB8d1veFIPSLgG9e05exEQypEMyxFHkaVyPM2oMOzO7OqapMlEaA9x2d053i6yqs_-C4nX2J5mccrn3nn-eS7Wx-zgNy5oVwBKV_l2dBFBe7ZOHMRrd3K-zXT7KSTBZfieKKdRafilWJLT1sRpm-qecetQ_J2cf4_qfj-iCJxRP9pA3vyHyugow8YJXOY8gh4feGD98m_/3739547.jpg"")"	Osaka	Umeda / Nishi-Umeda	Shabutei Nishi Umeda (しゃぶ亭 西梅田店)	ร้านอาหาร	ชาบูชาบูหม้อเดี่ยว (Individual Shabu-shabu)	11:00 – 15:00 / 17:00 – 23:00	น้ำจิ้มงาสูตรลับบดสดรสชาติหอมมันเข้มข้น, ชุดเนื้อวากิวและหมูคุโรบูตะสไลซ์บางนุ่ม		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.6992842,135.4952294&query_place_id=Shabutei%20Nishi%20Umeda%20Umeda%20/%20Nishi-Umeda"", ""📍 แผนที่"")"
31	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG_omiYkNVym1Sd6g5T38MuTBDc4e9p3cTQ3M1cJm6kfTUUs_xEtwcWFFS7LwEHrnJnqaCkyP0eBIGcUKCQFK2bkJ8f4C5g80Hc4kWVdiOGrkRpXI8zagw7M7s6pqkyURoD3HZ3TneLrKqz_4LidfYnmZxyufeef55LtbH7OA3LmhXAEpX-XZ0EUF7tk4cxGt3eNMACFJtHWZ-zEuODM9_LhC6uQMUjP6kbIX18Jz_ultMUxjmCDAa3Hw81Dgc6GxOJroDbwiKjT8Vu25bOaIMDQ=/29M7dQkc_400x400.jpg"")"	Osaka	Shinsekai	Magic Cafe & Bar Shinsekai (マジックカフェ＆バー 新世界)	คาเฟ่บาร์ / ความบันเทิง	เครื่องดื่ม ค็อกเทล และโชว์มายากลระยะประชิด (Magic Bar)	13:00 – 23:00	โชว์ Close-up Magic ระยะประชิดสุดตื่นตาตื่นใจ พร้อมเครื่องดื่มค็อกเทลและม็อกเทล		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.6504725,135.5065096&query_place_id=Magic%20Cafe%20%26%20Bar%20Shinsekai%20Shinsekai"", ""📍 แผนที่"")"
32	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG_GwMB2BxZcA7xqJG08HXLv_EsI9rI5aZS4mTPuRWH3r__eS97ZrPBNsqw2hpzrhPvb5RQK0SHfiNfvo_op0wXFxgtBbyQxHhrV7c3Fy7Yxi4zdveCHgguEoXr8hANNyU0aVyPM2oMOzO7OqapMlEaA9x2d053i6yqs_-C4nX2J5mccrn3nn-eS7Wx-zgNy5oVwBKV_l2dBFBe7ZOHMRrd2GT_uPLpKLcIdCNO_2UnWuYFkBaTU8Mr24tQdkSj6Fw3Wnot7RPgLBqVfaTtnrxvzGazdyqlKc3am4TpB3rdSf/33140249.jpg"")"	Osaka	Nakazakicho	neel nakazakicho (คาเฟ่ นีล นาคาซากิโจ)	คาเฟ่	เครปฝรั่งเศส คัตสึแซนด์ กาแฟ (Boutique Cafe)	10:00 – 20:30	Sugar Butter Crepe (เครปเนยน้ำตาลกรอบนอกนุ่มหนึบทรงสามเหลี่ยม), Katsu Sando ลูกแพร์		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.7087745,135.5034573&query_place_id=neel%20nakazakicho%20Nakazakicho"", ""📍 แผนที่"")"
33	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG-Bd7WfZVnFnM15Po707LUsY7suobAlp-fyfIxP2frLemtbhFVl9YR5STIaq-K3lJpvhdAU9In4KuWXAdn8D5WmtCAngGD-6cWb1-eiu7yKbF5PtyXXde1C_i1G1uV9bp1P0hhOKE0WV02xp8COfSD8pG5KoyrMAI7gVWIkYk5LOlc7mt3ODI6AwMJ4Aoiv-l1hVdNPn8GJF1JZ-hY_3KcizzGYoPsfI5sEljjklethINrF6Y9vWQpBDd2vJfgwGz4wHQB-x-wvgFyyk0A3xMkieCt_ZSsu_B-GeSc5gcs7y9YDOB6c2a-Hqv-4fKc71sg==/o1040078015418564612.jpg"")"	Osaka	Umeda	Unagi Kushiyaki Izumo (うなぎ 串焼き いづも ルクアバルチカ)	ร้านอาหาร	ข้าวหน้าปลาไหลและเสียบไม้ย่าง (Unagi Restaurant)	11:00 – 23:00	Unatama Don (ข้าวหน้าปลาไหลชิ้นโตวางบนไข่ม้วนดาชิยักษ์พูนชาม) ห้าง LUCUA B2F	ข้าวหน้าปลาไหล อร่อย	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.703138,135.4954255&query_place_id=Unagi%20Kushiyaki%20Izumo%20Umeda"", ""📍 แผนที่"")"
34	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG7vtJUceQEiwasVKtK4sWxJTiIZpHWft1gaapBRvhasFuwNYhJWONbfDzNNbG221GSB8J7tB9ZrqTtvRpHS-boGBVvtB3F0IlbZ4Z9uj8zTU-QK3NX_FbUl30MUDI-g4OeXnt13FJTA5WSgnKvwbn4ebrON8lJN_OKdGbKWMP1ONeJgfTJn6AYXOtCRwRmXl-_lZSpQAGnzxawGyms0q20eh5ZeEgiXBO2NVHRdREloSynxwr9EjA76YbAucUTfOqF6wCARSO-ARMVANwIkVut5R_XHF3ATfQePYoe4TPNZoWSYlcgKPsi6ZBORtPWbO1w==/640x640_rect_ad6929ef43fa4821a0319a323736b496.jpg"")"	Osaka	Namba	Onigiri Gorichan Nankai Namba (おにぎり ごりちゃん 南海なんば駅 3F)	ร้านอาหาร	ข้าวปั้นโอนิกิริปั้นสด (Handmade Onigiri)	07:30 – 21:00	ข้าวปั้นแซลมอนมาโยไข่กุ้ง, ข้าวปั้นไข่แดงดองโชยุหมูผัดมิโซะ (ชั้น 3F สถานี Nankai Namba)	โอนิกิริ อร่อย	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.66411,135.5013808&query_place_id=Onigiri%20Gorichan%20Nankai%20Namba%20Namba"", ""📍 แผนที่"")"
35	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG4TycKYVn2OFEVvxdFTDDVe95GeRt1zlGs45M33iLi4sEIolV7w7X0Sxg62Biuln3DwRHesNA2eK4Ae2KhIwvF4hlfXHiJ_9I4SG9-IjOkGiroeSh0Wwpsbn0UTI0hsr-owQUr2uPRjssvIKp0lzNh5caPRnczZZkhb6Ym94bf9_VgYWEfpGpML-rV4VGTkkjS-v_qv4_yJesJY1YGK-6K0DoRVJk7tFNJWD3qHMvRstKEA0d_jGrSaqyfs5ID5X9NunQrd-kdqFav9Mw13PxRYfXYx4mVHeVpMaIZ3N5df4/aq559-0dkn6-scaled.jpg"")"	Osaka	Honmachi / Awajimachi	Hakugintei (白銀亭 - ฮะคุงินเท)	ร้านอาหาร	ข้าวแกงกะหรี่รสเผ็ดหวานสไตล์โอซาก้า (Curry Specialty)	11:45 – 15:00 (เปิดเฉพาะเที่ยง ปิดอาทิตย์)	Tonkatsu Curry + Cheese + Raw Egg (ข้าวแกงกะหรี่หมูทอดท็อปไข่ดิบและชีส)	แกงกะหรั่ดังคนไทย	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.6869253,135.4993977&query_place_id=Hakugintei%20Honmachi%20/%20Awajimachi"", ""📍 แผนที่"")"
36	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG7vtJUceQEiwasVKtK4sWxIvOfeFulQ-k6a-45h5F6hG8c77w0hBh7cS1_H9UuW6hHGTXiIT8MdWqn5N7OSMyY26QEKK_XUdhg9eIlo7H85UkJo-FfeimwoIS5hy2LP3L5XabJYRU_eeoUNUfX1sKLbudxt0IUCcwJGN6BJHhPUqrtvQGdN0sJvM-MC0TacXuA2Ycm_Zx_TOBZLXvYlpOYV-rdmS-JDkd7d-jpzP83NdAMAH9toz_jCk9Mz5S_tvqxite2JBhC0UnMd994Pdmhjqm92NFL7jYnV_zPBOi-Foyl2LFS1020zPlxgmq4pXixTQQbzQ0p4caWkyaSELo94=/45575187.jpg"")"	Osaka	Namba / Sennichimae	Tempura Tarojiro (天ぷら 太郎次郎)	ร้านอาหาร	เทมปุระทอดสดกรอบไม่อมน้ำมัน (Tempura Izakaya)	17:00 – 23:30 (ปิดวันจันทร์)	เทมปุระกุ้งตัวโต, ไข่ต้มเทมปุระยางมะตูม, ผักตามฤดูกาลทอดเสิร์ฟร้อนๆ คู่เกลือหลากรส	Tempura อร่อย	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.6678979,135.503683&query_place_id=Tempura%20Tarojiro%20Namba%20/%20Sennichimae"", ""📍 แผนที่"")"
37	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqGx7eqcYBIvhvzjkEERAPVzE3fp3obIxJYeO18IRUJ5WvT-woCDr7lXcJ-RN1-kYaYL3eTpgtLvj3UBN-5viYPxnz-pTFfenWk6ATS1oxXP4RjBBSva49GOyy8gqnSXM2Hlxo9GdzNlmSFvpib3ht_39WBhYR-kakwv6tXhUZOSSNL6_-q_j_Il6wljVgYr7ora50MQBBV0UFMHu8W_w9NmvH-svKh-Mt5XXCZS4BBx-gR8TfS1D1bheraYS65Y97lZCGklMHD0ehyo2yhsDb1nA=/rinku.png"")"	Osaka	Rinku Town / Izumisano	Rinku Premium Outlets (りんくうプレミアム・アウトレット)	ช้อปปิ้ง	เอาต์เล็ตมอลล์ขนาดใหญ่ริมทะเล (Shopping Outlet)	10:00 – 20:00	แหล่งช้อปปิ้งแบรนด์เนม แฟชั่น กีฬากว่า 250 ร้านค้า ใกล้สนามบินคันไซ พร้อมวิวอ่าวโอซาก้า		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.4064643,135.2954403&query_place_id=Rinku%20Premium%20Outlets%20Rinku%20Town%20/%20Izumisano"", ""📍 แผนที่"")"
38	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG_GwMB2BxZcA7xqJG08HXLv_EsI9rI5aZS4mTPuRWH3r__eS97ZrPBNsqw2hpzrhPvb5RQK0SHfiNfvo_op0wXFxgtBbyQxHhrV7c3Fy7Yxi8EqLB92mS2WyOBcPc7YX3kaVyPM2oMOzO7OqapMlEaA9x2d053i6yqs_-C4nX2J5mccrn3nn-eS7Wx-zgNy5oVwBKV_l2dBFBe7ZOHMRrd3IBJEs5at5hgvpXIAXpgI9DoxCea_1v-CB77sJiqT6Xo8xxgJxmXbUJFmwahgQqC2Y2mRPVi75r7m4z3cZomEi/33648007.jpg"")"	Osaka	Temma / Ogimachi	Doshintei (同心亭 - ปิ้งย่างโดชินเท)	ร้านอาหาร	เนื้อย่างยากินิกุเนื้อวากิวสไตล์โลคอล (Wagyu Yakiniku)	17:00 – 23:00 (ปิดวันจันทร์)	ลิ้นวัวหั่นหนาพิเศษ (Thick-cut Gyutan), เนื้อคารูบิลายหินอ่อน, เนื้อฮารามิราคาสุดคุ้ม		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.7030127,135.5173128&query_place_id=Doshintei%20Temma%20/%20Ogimachi"", ""📍 แผนที่"")"
39	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG5EuEQa_Sf3uZb315GeI5kkcST_llUqJdskyqn-0Un0jL-FMSdsvLXHxf2IPe1KRfyA3LzgUfPWgKeaQQi6mhiUtEliRhEEqdt67VDCeAy_9o85E5wQQWdu0sKJGvibNEHKSqbS3ZVyrFYBGwonl4lWMEFK9rj0Y7LLyCqdJczYeXGj0Z3M2WZIW-mJveG3_f1YGFhH6RqTC_q1eFRk5JI0vr_6r-P8iXrCWNWBivuitLtsNALGRC0Gz7ulLkq-ruebQk-aRXR9gX5rYpBKu_I1oHr7_YOZCPiRot5Jk87T125fYieVwWz4brVkd5KG5mQ==/normal_e821fb7d-4aa9-450a-b5d6-c9bd9658fcb7.jpg"")"	Osaka	Tennoji	Shitennoji (วัดชิเทนโนจิ - 四天王寺)	สถานที่ท่องเที่ยว	วัดพุทธโบราณแห่งแรกของญี่ปุ่น (Historic Buddhist Temple)	08:30 – 16:30	เจดีย์ 5 ชั้นเก่าแก่, สวนสวรรค์โกคุราคุโจโด, บรรยากาศประวัติศาสตร์กว่า 1,400 ปี		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.6547142,135.5169464&query_place_id=Shitennoji%20Tennoji"", ""📍 แผนที่"")"
40	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG6pNq89RFIlDgEg_k-EZN25zOhpRcDdQ6SivxOv7tgkiedZUiRi-PyQNTOesVnOfLRmxj17INtoJINubvzpCO19eQCJBebn62rzScXBE0l1UMmZzRHYjrWEhlKIFHNRX7zK6ORpzPf7OFpD40n_M3-zLRyATXASUlp41zBDZjaDka1CTjhdbVeOJ8Hz74W88MecowmyTJvav6eHIy-vrWMqbtD3tsCMrRKbCr2ocQIo6tnHN45_myMQpudv4T4B_voz0-kdKhTK1vGzBC7f8wUA=/P039140867_480.jpg"")"	Osaka	Shinsaibashi	Shinsaibashi Ujien honten (宇治園 心斎橋本店)	คาเฟ่ / ขนมหวาน	ชาเขียวอุจิและขนมญี่ปุ่นโบราณ (Uji Matcha Specialty)	10:00 – 20:00	Matcha & Hojicha Parfait, มงบล็องชาเขียวบีบสดใหม่, ซอฟต์เสิร์ฟมัทฉะเข้มข้น (ก่อตั้ง 1869)		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.6731316,135.5015213&query_place_id=Shinsaibashi%20Ujien%20honten%20Shinsaibashi"", ""📍 แผนที่"")"
41	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqGwIzO_HmiMI2yxII_Plxke1OmnDRxhSx7Rk5BTjnnq_WIB30JrYrvFZpo7rR3Lbl8VkUD-aLX-BtWvMcvMy0VuOdCcQR1cdK5H22uYzw12xhtgBldUd9BpgdOkq31PqTrzCwKdtdGI7a-_18Op-XMnN-poOkda1pJIWTIsR__zzAzyUFX3tJ_2FbORSufDRAFqFwLUoBlfpck-lOmldj_8YM_QD1P-o7YPgFUjfn8uOxhnWmXubTvre98eEiK-VQgvXUWqw6OEqqJ8vMLkbQoE0Mk5ZG-WWqJSAAGlNMtl46fhfC33DBneDccewHRogK7R_AuQ3K-33cDLCAjCvxDGM=/650x450_18717804.jpg"")"	Osaka	Kuromon Market / Namba	Maguroya Kurogin Kuromon (まぐろや黒銀 黒門市場本店)	ร้านอาหาร	ข้าวหน้าปลาทูน่าสด ซาชิมิโอโทโร่ (Tuna Specialty)	09:00 – 16:00 (หรือจนกว่าของจะหมด)	Sanshu Don (ข้าวหน้าทูน่า 3 ส่วน โอโทโร่ ชูโทโร่ อากามิ), ซูชิโรลโอโทโร่เบิร์นไฟ		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.6645566,135.5069356&query_place_id=Maguroya%20Kurogin%20Kuromon%20Kuromon%20Market%20/%20Namba"", ""📍 แผนที่"")"
42	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG4shvqzwNmHwKBXzSHCM_zwaOyuGFongc8Hm7mQ6ljIyuVv03SPQEpgWLg4LRwZmZyuzQmcY3Hy05EmF42Px1EHf7NWxuNgCE9w9WSYrHaNuVyEta0mU0yYtSDBM90Ez7kaVyPM2oMOzO7OqapMlEaA9x2d053i6yqs_-C4nX2J5mccrn3nn-eS7Wx-zgNy5oVwBKV_l2dBFBe7ZOHMRrd0zO7Un6bJRCqGkmmvFyY6WFcSzlM9XXN_5yiEiNLepcefRB-4indr0JfmfTi34_ydDy1oH9kuCDAhN1f7rWxUQ/e73541d5086e3fc1d2ac57e62fe38b16.jpg"")"	Osaka	Fukushima	Moeyo Mensuke Ramen (燃えよ 麺助)	ร้านอาหาร	ราเมนซุปเป็ดและซุปหอยยอดนิยม (Award-winning Ramen)	11:00 – 15:00 / 17:30 – 21:00 (ปิดวันจันทร์)	Kamo Soba (ราเมนซุปเป็ดคิชูอบควัน หอมละมุน หมูชาชูนุ่ม), Kai Soba (ราเมนซุปหอยรสหวานกลมกล่อม)		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.6963581,135.4868588&query_place_id=Moeyo%20Mensuke%20Ramen%20Fukushima"", ""📍 แผนที่"")"
